Date,Name,Type,Country Name,Country Code
2023-04-02,Pascua Florida Day,['Local observance'],United States,US
2023-04-03,Pascua Florida Day observed,['Local observance'],United States,US
2023-04-04,United Nations' Mine Awareness Day,['United Nations observance'],United States,US
2023-04-05,Passover Eve,['Hebrew'],United States,US
2023-04-05,International Day of Conscience,['United Nations observance'],United States,US
2023-04-06,Maundy Thursday,['Christian'],United States,US
2023-04-06,Passover (first day),['Hebrew'],United States,US
2023-04-06,International Day of Sport for Development and Peace,['United Nations observance'],United States,US
2023-04-06,National Tartan Day,['Observance'],United States,US
2023-04-07,United Nations' World Health Day,['United Nations observance'],United States,US
2023-04-07,Day of Remembrance of the Victims of the Rwanda Genocide,['United Nations observance'],United States,US
2023-04-07,Good Friday,"['Local holiday', 'Christian']",United States,US
2023-04-07,State Holiday,['Local holiday'],United States,US
2023-04-08,Holy Saturday,['Christian'],United States,US
2023-04-09,Easter Sunday,"['Observance', 'Christian']",United States,US
2023-04-10,Easter Monday,"['Observance', 'Christian']",United States,US
2023-04-12,International Day of Human Space Flight,['United Nations observance'],United States,US
2023-04-13,Last Day of Passover,['Hebrew'],United States,US
2023-04-13,Thomas Jefferson's Birthday,['Observance'],United States,US
2023-04-14,Orthodox Good Friday,['Orthodox'],United States,US
2023-04-14,World Chagas Disease Day,['United Nations observance'],United States,US
2023-04-15,Orthodox Holy Saturday,['Orthodox'],United States,US
2023-04-15,World Art Day,['Worldwide observance'],United States,US
2023-04-15,Father Damien Day,['Local observance'],United States,US
2023-04-16,Orthodox Easter,['Orthodox'],United States,US
2023-04-16,Emancipation Day,['Local holiday'],United States,US
2023-04-17,Lailat al-Qadr,['Muslim'],United States,US
2023-04-17,Orthodox Easter Monday,['Orthodox'],United States,US
2023-04-17,Emancipation Day observed,['Local holiday'],United States,US
2023-04-17,Patriots' Day,['Local holiday'],United States,US
2023-04-17,Boston Marathon,['Sporting event'],United States,US
2023-04-18,Yom HaShoah,['Hebrew'],United States,US
2023-04-18,International Day for Monuments and Sites,['Worldwide observance'],United States,US
2023-04-18,Tax Day,['Observance'],United States,US
2023-04-20,Chinese Language Day,['United Nations observance'],United States,US
2023-04-21,Eid al-Fitr,['Muslim'],United States,US
2023-04-21,World Creativity and Innovation Day,['United Nations observance'],United States,US
2023-04-21,San Jacinto Day,['Local holiday'],United States,US
2023-04-21,Arbor Day,['Local observance'],United States,US
2023-04-22,Earth Day,['United Nations observance'],United States,US
2023-04-22,Oklahoma Day,['Local observance'],United States,US
2023-04-23,World Book and Copyright Day,['United Nations observance'],United States,US
2023-04-23,English Language Day,['United Nations observance'],United States,US
2023-04-24,International Day of Multilateralism and Diplomacy for Peace,['United Nations observance'],United States,US
2023-04-24,Arbor Day,['Local observance'],United States,US
2023-04-24,Confederate Memorial Day,['Local holiday'],United States,US
2023-04-24,Confederate Memorial Day,['Local holiday'],United States,US
2023-04-25,International Delegate's Day,['United Nations observance'],United States,US
2023-04-25,World Malaria Day,['United Nations observance'],United States,US
2023-04-25,National Library Workers' Day,['Observance'],United States,US
2023-04-26,Yom Ha'atzmaut,['Hebrew'],United States,US
2023-04-26,World Intellectual Property Day,['United Nations observance'],United States,US
2023-04-26,International Chernobyl Disaster Remembrance Day,['United Nations observance'],United States,US
2023-04-26,Confederate Memorial Day,['Local observance'],United States,US
2023-04-26,State Holiday,['Local observance'],United States,US
2023-04-26,Administrative Professionals Day,['Observance'],United States,US
2023-04-27,International Girls in ICT Day,['United Nations observance'],United States,US
2023-04-27,Take our Daughters and Sons to Work Day,['Observance'],United States,US
2023-04-28,World Day for Safety and Health at Work,['United Nations observance'],United States,US
2023-04-28,Arbor Day,['Local holiday'],United States,US
2023-04-28,Arbor Day,['Local observance'],United States,US
2023-04-30,International Jazz Day,['United Nations observance'],United States,US
2023-05-01,Law Day,['Observance'],United States,US
2023-05-01,Loyalty Day,['Observance'],United States,US
2023-05-01,Lei Day,['Local observance'],United States,US
2023-05-01,First Day of Military Appreciation Month,['Observance'],United States,US
2023-05-01,First Day of Asian Pacific American Heritage Month,['Observance'],United States,US
2023-05-01,First Day of Jewish American Heritage Month,['Observance'],United States,US
2023-05-02,World Tuna Day,['United Nations observance'],United States,US
2023-05-02,National Teacher Appreciation Day,['Observance'],United States,US
2023-05-03,World Press Freedom Day,['United Nations observance'],United States,US
2023-05-04,Kent State Shootings Remembrance,['Local observance'],United States,US
2023-05-04,National Day of Prayer,['Observance'],United States,US
2023-05-04,Rhode Island Independence Day,['Local observance'],United States,US
2023-05-04,West Virginia Day of Prayer,['Local observance'],United States,US
2023-05-05,Day of Vesak,['United Nations observance'],United States,US
2023-05-05,World Portuguese Language Day,['United Nations observance'],United States,US
2023-05-05,Cinco de Mayo,['Observance'],United States,US
2023-05-05,Kentucky Oaks,['Sporting event'],United States,US
2023-05-06,Kentucky Derby,['Sporting event'],United States,US
2023-05-06,National Nurses Day,['Observance'],United States,US
2023-05-06,National Explosive Ordnance Disposal (EOD) Day,['Observance'],United States,US
2023-05-07,International Family Equality Day,['Worldwide observance'],United States,US
2023-05-08,Time of Remembrance and Reconciliation for Those Who Lost Their Lives during the Second World War,['United Nations observance'],United States,US
2023-05-08,World Ovarian Cancer Day,['Worldwide observance'],United States,US
2023-05-08,World Red Cross and Red Crescent Day,['Worldwide observance'],United States,US
2023-05-08,Truman Day,['Local holiday'],United States,US
2023-05-08,Victory in Europe Day,['Observance'],United States,US
2023-05-09,Lag BaOmer,['Hebrew'],United States,US
2023-05-10,International Day of Argania,['United Nations observance'],United States,US
2023-05-10,Confederate Memorial Day,['Local holiday'],United States,US
2023-05-10,Confederate Memorial Day,['Local observance'],United States,US
2023-05-12,International Nurses Day,['Worldwide observance'],United States,US
2023-05-12,Native American Day,['Local holiday'],United States,US
2023-05-12,Military Spouse Appreciation Day,['Observance'],United States,US
2023-05-12,Military Spouse Appreciation Day,['Local observance'],United States,US
2023-05-13,World Migratory Bird Day,['United Nations observance'],United States,US
2023-05-14,Mother's Day,['Observance'],United States,US
2023-05-14,Mother's Day,['Local holiday'],United States,US
2023-05-15,International Day of Families,['United Nations observance'],United States,US
2023-05-15,Peace Officers Memorial Day,['Observance'],United States,US
2023-05-16,International Day of Living Together in Peace,['United Nations observance'],United States,US
2023-05-16,International Day of Light,['United Nations observance'],United States,US
2023-05-17,World Telecommunication and Information Society Day,['United Nations observance'],United States,US
2023-05-18,Ascension Day,['Christian'],United States,US
2023-05-19,National Defense Transportation Day,['Observance'],United States,US
2023-05-20,World Bee Day,['United Nations observance'],United States,US
2023-05-20,World Autoimmune / Autoinflammatory Arthritis Day,['Worldwide observance'],United States,US
2023-05-20,Public Lands Day,['Local observance'],United States,US
2023-05-20,Armed Forces Day,['Observance'],United States,US
2023-05-20,Preakness Stakes,['Sporting event'],United States,US
2023-05-21,World Day for Cultural Diversity for Dialogue and Development,['United Nations observance'],United States,US
2023-05-21,International Tea Day,['United Nations observance'],United States,US
2023-05-22,International Day for Biological Diversity,['United Nations observance'],United States,US
2023-05-22,National Maritime Day,['Observance'],United States,US
2023-05-22,Harvey Milk Day,['Local observance'],United States,US
2023-05-23,International Day to End Obstetric Fistula,['United Nations observance'],United States,US
2023-05-24,Emergency Medical Services for Children Day,['Observance'],United States,US
2023-05-25,African Liberation Day,['Worldwide observance'],United States,US
2023-05-25,National Missing Children's Day,['Observance'],United States,US
2023-05-26,Shavuot,['Hebrew'],United States,US
2023-05-28,Pentecost,['Christian'],United States,US
2023-05-29,Whit Monday,['Christian'],United States,US
2023-05-29,International Day of United Nations Peacekeepers,['United Nations observance'],United States,US
2023-05-29,Memorial Day,['National holiday'],United States,US
2023-05-29,Decoration Day,['Local holiday'],United States,US
2023-05-29,Jefferson Davis' Birthday,['Local observance'],United States,US
2023-05-31,World No Tobacco Day,['United Nations observance'],United States,US
2023-06-01,Global Day of Parents,['United Nations observance'],United States,US
2023-06-01,First Day of Pride Month,['Observance'],United States,US
2023-06-01,First Day of Caribbean-American Heritage Month,['Observance'],United States,US
2023-06-01,Statehood Day,['Local observance'],United States,US
2023-06-03,World Bicycle Day,['United Nations observance'],United States,US
2023-06-03,Jefferson Davis' Birthday,['Local observance'],United States,US
2023-06-04,Trinity Sunday,['Christian'],United States,US
2023-06-04,International Day of Innocent Children Victims of Aggression,['United Nations observance'],United States,US
2023-06-04,Native American Day,['Local holiday'],United States,US
2023-06-05,World Environment Day,['United Nations observance'],United States,US
2023-06-05,"International Day for the Fight against Illegal, Unreported and Unregulated Fishing",['United Nations observance'],United States,US
2023-06-05,Jefferson Davis' Birthday,['Local holiday'],United States,US
2023-06-06,Day of the Russian Language,['United Nations observance'],United States,US
2023-06-06,D-Day,['Observance'],United States,US
